SINGLE_LINE_ADDRESS,SUB_BUILDING,BUILDING_NAME,BUILDING_NUMBER,STREET_NAME,LOCALITY,TOWN_NAME
"FLAT 2, 92 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 2,,92,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 92 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 3,,92,OLD TIVERTON ROAD,,EXETER
"FLAT 1ST FLR, 1 PINHOE ROAD, EXETER, EX4 7HP",FLAT 1ST FLR,,1,PINHOE ROAD,,EXETER
"FLT 2ND FLR, 7 RALEIGH ROAD, EXETER, EX1 1TQ",FLT 2ND FLR,,7,RALEIGH ROAD,,EXETER
"FLAT 1A, 92 SIDWELL STREET, EXETER, EX4 6PH",FLAT 1A,,92,SIDWELL STREET,,EXETER
"FLAT 1B, 92 SIDWELL STREET, EXETER, EX4 6PH",FLAT 1B,,92,SIDWELL STREET,,EXETER
"FLAT 1C, 92 SIDWELL STREET, EXETER, EX4 6PH",FLAT 1C,,92,SIDWELL STREET,,EXETER
"FLAT 1A SECOND FLOOR, 1 SPRINGFIELD ROAD, EXETER, EX4 6JL",FLAT 1A SECOND FLOOR,,1,SPRINGFIELD ROAD,,EXETER
"FLAT 1B 1-FLR, 1 SPRINGFIELD ROAD, EXETER, EX4 6JL",FLAT 1B 1-FLR,,1,SPRINGFIELD ROAD,,EXETER
"FLAT 1C GROUND FLOOR, 1 SPRINGFIELD ROAD, EXETER, EX4 6JL",FLAT 1C GROUND FLOOR,,1,SPRINGFIELD ROAD,,EXETER
"FLAT 1, 64 WONFORD ROAD, EXETER, EX2 4LQ",FLAT 1,,64,WONFORD ROAD,,EXETER
"FLAT TOP FLOOR, 54 BELMONT ROAD, EXETER, EX1 2HG",FLAT TOP FLOOR,,54,BELMONT ROAD,,EXETER
"FLT BSMNT, 6 GROSVENOR PLACE, EXETER, EX1 2HJ",FLT BSMNT,,6,GROSVENOR PLACE,,EXETER
"GROUND FLOOR FLAT, 6 GROSVENOR PLACE, EXETER, EX1 2HJ",GROUND FLOOR FLAT,,6,GROSVENOR PLACE,,EXETER
"GROUND FLOOR FLAT, 10 BARING CRESCENT, EXETER, EX1 1TL",GROUND FLOOR FLAT,,10,BARING CRESCENT,,EXETER
"GROUND FLOOR FLAT, 5 RALEIGH ROAD, EXETER, EX1 1TQ",GROUND FLOOR FLAT,,5,RALEIGH ROAD,,EXETER
"GROUND FLOOR FLAT, 12 CODRINGTON STREET, EXETER, EX1 2BU",GROUND FLOOR FLAT,,12,CODRINGTON STREET,,EXETER
"GROUND FLOOR FLAT, 21 RALEIGH ROAD, EXETER, EX1 1TQ",GROUND FLOOR FLAT,,21,RALEIGH ROAD,,EXETER
"FLAT FIRST FLOOR, 21 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT FIRST FLOOR,,21,RALEIGH ROAD,,EXETER
"FLAT FIRST FLOOR, 5 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT FIRST FLOOR,,5,RALEIGH ROAD,,EXETER
"FLAT FIRST FLOOR, 54 BELMONT ROAD, EXETER, EX1 2HG",FLAT FIRST FLOOR,,54,BELMONT ROAD,,EXETER
"46B BELMONT ROAD, EXETER, EX1 2HG",,,46B,BELMONT ROAD,,EXETER
"FLAT GROUND FLOOR AND BASEMENT, 54 BELMONT ROAD, EXETER, EX1 2HG",FLAT GROUND FLOOR AND BASEMENT,,54,BELMONT ROAD,,EXETER
"46A BELMONT ROAD, EXETER, EX1 2HG",,,46A,BELMONT ROAD,,EXETER
"FLAT GROUND FLOOR, 38 PORTLAND STREET, EXETER, EX1 2EQ",FLAT GROUND FLOOR,,38,PORTLAND STREET,,EXETER
"FLAT 2, 20 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT 2,,20,RALEIGH ROAD,,EXETER
"1A DENMARK ROAD, EXETER, EX1 1SL",,,1A,DENMARK ROAD,,EXETER
"SECOND FLOOR FLAT, 38 PORTLAND STREET, EXETER, EX1 2EQ",SECOND FLOOR FLAT,,38,PORTLAND STREET,,EXETER
"SECOND FLOOR FLAT, 20 RALEIGH ROAD, EXETER, EX1 1TQ",SECOND FLOOR FLAT,,20,RALEIGH ROAD,,EXETER
"MAISONETTE, 17 RALEIGH ROAD, EXETER, EX1 1TQ",MAISONETTE,,17,RALEIGH ROAD,,EXETER
"BASEMENT FLAT, 60 WONFORD ROAD, EXETER, EX2 4LQ",BASEMENT FLAT,,60,WONFORD ROAD,,EXETER
"FIRST FLOOR FLAT, 38 PORTLAND STREET, EXETER, EX1 2EQ",FIRST FLOOR FLAT,,38,PORTLAND STREET,,EXETER
"25B BELMONT ROAD, EXETER, EX1 2HF",,,25B,BELMONT ROAD,,EXETER
"FIRST FLOOR FLAT, 42 BELMONT ROAD, EXETER, EX1 2HG",FIRST FLOOR FLAT,,42,BELMONT ROAD,,EXETER
"FLAT SECOND FLOOR, 42 BELMONT ROAD, EXETER, EX1 2HG",FLAT SECOND FLOOR,,42,BELMONT ROAD,,EXETER
"46C BELMONT ROAD, EXETER, EX1 2HG",,,46C,BELMONT ROAD,,EXETER
"GROUND AND FIRST FLOORS, 54 BELMONT ROAD, EXETER, EX1 2HG",GROUND AND FIRST FLOORS,,54,BELMONT ROAD,,EXETER
"FIRST FLOOR BEDSIT, 54 BELMONT ROAD, EXETER, EX1 2HG",FIRST FLOOR BEDSIT,,54,BELMONT ROAD,,EXETER
"MAIS GD-1ST FL, 58 BELMONT ROAD, EXETER, EX1 2HQ",MAIS GD-1ST FL,,58,BELMONT ROAD,,EXETER
"FLT 2 GDN MAIS, 58 BELMONT ROAD, EXETER, EX1 2HQ",FLT 2 GDN MAIS,,58,BELMONT ROAD,,EXETER
"SECOND-THIRD FLOOR MAISONETTE, 58 BELMONT ROAD, EXETER, EX1 2HQ",SECOND-THIRD FLOOR MAISONETTE,,58,BELMONT ROAD,,EXETER
"BASEMENT FLAT, 58 BELMONT ROAD, EXETER, EX1 2HQ",BASEMENT FLAT,,58,BELMONT ROAD,,EXETER
"FLAT 1, 66 BELMONT ROAD, EXETER, EX1 2HQ",FLAT 1,,66,BELMONT ROAD,,EXETER
"FLAT 2, 66 BELMONT ROAD, EXETER, EX1 2HQ",FLAT 2,,66,BELMONT ROAD,,EXETER
"FLAT 3, 66 BELMONT ROAD, EXETER, EX1 2HQ",FLAT 3,,66,BELMONT ROAD,,EXETER
"FLAT 1, 68 BELMONT ROAD, EXETER, EX1 2HQ",FLAT 1,,68,BELMONT ROAD,,EXETER
"FLAT 3, 68 BELMONT ROAD, EXETER, EX1 2HQ",FLAT 3,,68,BELMONT ROAD,,EXETER
"FLAT 4, 68 BELMONT ROAD, EXETER, EX1 2HQ",FLAT 4,,68,BELMONT ROAD,,EXETER
"13A BLACKBOY ROAD, EXETER, EX4 6SG",,,13A,BLACKBOY ROAD,,EXETER
"25B BLACKBOY ROAD, EXETER, EX4 6ST",,,25B,BLACKBOY ROAD,,EXETER
"26 BLACKBOY ROAD, EXETER, EX4 6ST",,,26,BLACKBOY ROAD,,EXETER
"27 BLACKBOY ROAD, EXETER, EX4 6ST",,,27,BLACKBOY ROAD,,EXETER
"GROUND FLOOR FLAT, 66 BLACKBOY ROAD, EXETER, EX4 6TB",GROUND FLOOR FLAT,,66,BLACKBOY ROAD,,EXETER
"GROUND FLOOR FLAT, 32 ELMSIDE, EXETER, EX4 6LN",GROUND FLOOR FLAT,,32,ELMSIDE,,EXETER
"THE MAISONETTE, 32 ELMSIDE, EXETER, EX4 6LN",THE MAISONETTE,,32,ELMSIDE,,EXETER
"FLAT GROUND FLOOR, 53 ELMSIDE, EXETER, EX4 6LS",FLAT GROUND FLOOR,,53,ELMSIDE,,EXETER
"MAIS 1ST2ND FLR, 53 ELMSIDE, EXETER, EX4 6LS",MAIS 1ST2ND FLR,,53,ELMSIDE,,EXETER
"GROUND FLOOR FLAT, 58 ELMSIDE, EXETER, EX4 6LR",GROUND FLOOR FLAT,,58,ELMSIDE,,EXETER
"FLAT 1ST FLR, 58 ELMSIDE, EXETER, EX4 6LR",FLAT 1ST FLR,,58,ELMSIDE,,EXETER
"FLAT GROUND FLOOR, 59 ELMSIDE, EXETER, EX4 6LR",FLAT GROUND FLOOR,,59,ELMSIDE,,EXETER
"FLAT 1ST FLOOR, 59 ELMSIDE, EXETER, EX4 6LR",FLAT 1ST FLOOR,,59,ELMSIDE,,EXETER
"FLAT A, 1 GROSVENOR PLACE, EXETER, EX1 2HJ",FLAT A,,1,GROSVENOR PLACE,,EXETER
"MAISONETTE SECOND AND THIRD FLRS, 6 GROSVENOR PLACE, EXETER, EX1 2HJ",MAISONETTE SECOND AND THIRD FLRS,,6,GROSVENOR PLACE,,EXETER
"FLAT 1ST FLOOR, 6 GROSVENOR PLACE, EXETER, EX1 2HJ",FLAT 1ST FLOOR,,6,GROSVENOR PLACE,,EXETER
"BASEMENT FLAT, 27 HEAVITREE ROAD, EXETER, EX1 2LG",BASEMENT FLAT,,27,HEAVITREE ROAD,,EXETER
"GROUND FLOOR BEDSITS, 27 HEAVITREE ROAD, EXETER, EX1 2LG",GROUND FLOOR BEDSITS,,27,HEAVITREE ROAD,,EXETER
"FLAT 1ST FLOOR, 27 HEAVITREE ROAD, EXETER, EX1 2LG",FLAT 1ST FLOOR,,27,HEAVITREE ROAD,,EXETER
"FIRST FLOOR FLAT, 2 HERSCHELL ROAD, EXETER, EX4 6LX",FIRST FLOOR FLAT,,2,HERSCHELL ROAD,,EXETER
"13B POLSLOE ROAD, EXETER, EX1 2HL",,,13B,POLSLOE ROAD,,EXETER
"1 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,1,NICHOLS WAY,POLSLOE,EXETER
"3 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,3,NICHOLS WAY,POLSLOE,EXETER
"4 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,4,NICHOLS WAY,POLSLOE,EXETER
"5 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,5,NICHOLS WAY,POLSLOE,EXETER
"6 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,6,NICHOLS WAY,POLSLOE,EXETER
"7 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,7,NICHOLS WAY,POLSLOE,EXETER
"8 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,8,NICHOLS WAY,POLSLOE,EXETER
"9 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,9,NICHOLS WAY,POLSLOE,EXETER
"10 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,10,NICHOLS WAY,POLSLOE,EXETER
"GROUND FLOOR FLAT A, 12 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",GROUND FLOOR FLAT A,,12,MOUNT PLEASANT ROAD,,EXETER
"FLT FRST FL, 12 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLT FRST FL,,12,MOUNT PLEASANT ROAD,,EXETER
"FLT SCND FL, 12 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLT SCND FL,,12,MOUNT PLEASANT ROAD,,EXETER
"GROUND FLOOR FLAT B, 12 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",GROUND FLOOR FLAT B,,12,MOUNT PLEASANT ROAD,,EXETER
"GROUND FLOOR FLAT, 14 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",GROUND FLOOR FLAT,,14,MOUNT PLEASANT ROAD,,EXETER
"FLAT 1, 27 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 1,,27,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 27 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 2,,27,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 27 MOUNT PLEASANT ROAD, EXETER, EX4 7AD",FLAT 3,,27,MOUNT PLEASANT ROAD,,EXETER
"FLAT GROUND FLOOR, 81 MOUNT PLEASANT ROAD, EXETER, EX4 7AE",FLAT GROUND FLOOR,,81,MOUNT PLEASANT ROAD,,EXETER
"FLAT FIRST FLOOR, 81 MOUNT PLEASANT ROAD, EXETER, EX4 7AE",FLAT FIRST FLOOR,,81,MOUNT PLEASANT ROAD,,EXETER
"FLAT SECOND FLOOR, 81 MOUNT PLEASANT ROAD, EXETER, EX4 7AE",FLAT SECOND FLOOR,,81,MOUNT PLEASANT ROAD,,EXETER
"FLAT C, 83 MOUNT PLEASANT ROAD, EXETER, EX4 7AE",FLAT C,,83,MOUNT PLEASANT ROAD,,EXETER
"GROUND FLOOR FLAT 1, 99 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",GROUND FLOOR FLAT 1,,99,MOUNT PLEASANT ROAD,,EXETER
"GROUND FLOOR FLAT 2, 99 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",GROUND FLOOR FLAT 2,,99,MOUNT PLEASANT ROAD,,EXETER
"THE MAISONETTE, 23 OLD TIVERTON ROAD, EXETER, EX4 6LG",THE MAISONETTE,,23,OLD TIVERTON ROAD,,EXETER
"GARDEN FLAT, 24 OLD TIVERTON ROAD, EXETER, EX4 6LG",GARDEN FLAT,,24,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 30 OLD TIVERTON ROAD, EXETER, EX4 6LG",FLAT 3,,30,OLD TIVERTON ROAD,,EXETER
"FLAT 4, 30 OLD TIVERTON ROAD, EXETER, EX4 6LG",FLAT 4,,30,OLD TIVERTON ROAD,,EXETER
"FLAT 7, 56 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 7,,56,OLD TIVERTON ROAD,,EXETER
"FLAT 8, 56 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT 8,,56,OLD TIVERTON ROAD,,EXETER
"GROUND FLOOR FLAT, 62 OLD TIVERTON ROAD, EXETER, EX4 6NG",GROUND FLOOR FLAT,,62,OLD TIVERTON ROAD,,EXETER
"MAISONETTE 1-2 FLOORS, 62 OLD TIVERTON ROAD, EXETER, EX4 6NG",MAISONETTE 1-2 FLOORS,,62,OLD TIVERTON ROAD,,EXETER
"FLATS 3 4 5 6 AND 7, 64 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLATS 3 4 5 6 AND 7,,64,OLD TIVERTON ROAD,,EXETER
"GROUND FLOOR FLAT, 66 OLD TIVERTON ROAD, EXETER, EX4 6NG",GROUND FLOOR FLAT,,66,OLD TIVERTON ROAD,,EXETER
"SECOND FLOOR FLAT, 66 OLD TIVERTON ROAD, EXETER, EX4 6NG",SECOND FLOOR FLAT,,66,OLD TIVERTON ROAD,,EXETER
"GRD FL FLT, 71 OLD TIVERTON ROAD, EXETER, EX4 6NG",GRD FL FLT,,71,OLD TIVERTON ROAD,,EXETER
"FLAT FIRST FLOOR, 71 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLAT FIRST FLOOR,,71,OLD TIVERTON ROAD,,EXETER
"FLT SEC FL, 71 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLT SEC FL,,71,OLD TIVERTON ROAD,,EXETER
"FLAT 4, 113 OLD TIVERTON ROAD, EXETER, EX4 6LD",FLAT 4,,113,OLD TIVERTON ROAD,,EXETER
"FLAT 1, 118 OLD TIVERTON ROAD, EXETER, EX4 6LD",FLAT 1,,118,OLD TIVERTON ROAD,,EXETER
"FLAT 2, 121 OLD TIVERTON ROAD, EXETER, EX4 6LD",FLAT 2,,121,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 121 OLD TIVERTON ROAD, EXETER, EX4 6LD",FLAT 3,,121,OLD TIVERTON ROAD,,EXETER
"SECOND-THIRD FLOOR MAISONETTE, 122 OLD TIVERTON ROAD, EXETER, EX4 6LD",SECOND-THIRD FLOOR MAISONETTE,,122,OLD TIVERTON ROAD,,EXETER
"11 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,11,NICHOLS WAY,POLSLOE,EXETER
"12 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,12,NICHOLS WAY,POLSLOE,EXETER
"2 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,2,NICHOLS WAY,POLSLOE,EXETER
"14 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,14,NICHOLS WAY,POLSLOE,EXETER
"15 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,15,NICHOLS WAY,POLSLOE,EXETER
"16 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,16,NICHOLS WAY,POLSLOE,EXETER
"17 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,17,NICHOLS WAY,POLSLOE,EXETER
"18 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,18,NICHOLS WAY,POLSLOE,EXETER
"19 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,19,NICHOLS WAY,POLSLOE,EXETER
"20 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,20,NICHOLS WAY,POLSLOE,EXETER
"21 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,21,NICHOLS WAY,POLSLOE,EXETER
"22 NICHOLS WAY, POLSLOE, EXETER, EX1 2HD",,,22,NICHOLS WAY,POLSLOE,EXETER
"GROUND FLOOR FLAT, 26 PROSPECT PARK, EXETER, EX4 6NA",GROUND FLOOR FLAT,,26,PROSPECT PARK,,EXETER
"MIDDLE AND TOP FLOORS, 26 PROSPECT PARK, EXETER, EX4 6NA",MIDDLE AND TOP FLOORS,,26,PROSPECT PARK,,EXETER
"FLAT 1, 13 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT 1,,13,RALEIGH ROAD,,EXETER
"FLAT 2, 13 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT 2,,13,RALEIGH ROAD,,EXETER
"FLAT 3, 13 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT 3,,13,RALEIGH ROAD,,EXETER
"ROOM GROUND FLOOR FRONT, 30 RALEIGH ROAD, EXETER, EX1 1TQ",ROOM GROUND FLOOR FRONT,,30,RALEIGH ROAD,,EXETER
"FLAT GROUND FLOOR REAR, 30 RALEIGH ROAD, EXETER, EX1 1TQ",FLAT GROUND FLOOR REAR,,30,RALEIGH ROAD,,EXETER
"MAISONETTE 1 TO 2 FLOORS, 2 ST JAMES CLOSE, EXETER, EX4 6QZ",MAISONETTE 1 TO 2 FLOORS,,2,ST JAMES CLOSE,,EXETER
"FLAT 3, 92 SIDWELL STREET, EXETER, EX4 6PH",FLAT 3,,92,SIDWELL STREET,,EXETER
"FLAT 4A, 93 SIDWELL STREET, EXETER, EX4 6PH",FLAT 4A,,93,SIDWELL STREET,,EXETER
"GARDEN FLAT, 93 SIDWELL STREET, EXETER, EX4 6PH",GARDEN FLAT,,93,SIDWELL STREET,,EXETER
"FLAT 1, 1 SYLVAN ROAD, EXETER, EX4 6EW",FLAT 1,,1,SYLVAN ROAD,,EXETER
"BASEMENT FLAT, 35 UNION ROAD, EXETER, EX4 6HU",BASEMENT FLAT,,35,UNION ROAD,,EXETER
"FLATS 2 AND 3, 96 UNION ROAD, EXETER, EX4 6HT",FLATS 2 AND 3,,96,UNION ROAD,,EXETER
"FLAT 3 SECOND FLOOR, 96 UNION ROAD, EXETER, EX4 6HT",FLAT 3 SECOND FLOOR,,96,UNION ROAD,,EXETER
"FLATS 2 3 5 6 AND 7, 50 OLD TIVERTON ROAD, EXETER, EX4 6NG",FLATS 2 3 5 6 AND 7,,50,OLD TIVERTON ROAD,,EXETER
"GARDEN FLAT, 50 OLD TIVERTON ROAD, EXETER, EX4 6NG",GARDEN FLAT,,50,OLD TIVERTON ROAD,,EXETER
"12A SYLVAN ROAD, EXETER, EX4 6EW",,,12A,SYLVAN ROAD,,EXETER
"12B SYLVAN ROAD, EXETER, EX4 6EW",,,12B,SYLVAN ROAD,,EXETER
"12C SYLVAN ROAD, EXETER, EX4 6EW",,,12C,SYLVAN ROAD,,EXETER
"8B COLLEGE ROAD, EXETER, EX1 1TE",,,8B,COLLEGE ROAD,,EXETER
"BASEMENT FLAT, 8 BARING CRESCENT, EXETER, EX1 1TL",BASEMENT FLAT,,8,BARING CRESCENT,,EXETER
"STUDIO FLAT, 9 BARING CRESCENT, EXETER, EX1 1TL",STUDIO FLAT,,9,BARING CRESCENT,,EXETER
"GROUND FLOOR FLAT, 9 BARING CRESCENT, EXETER, EX1 1TL",GROUND FLOOR FLAT,,9,BARING CRESCENT,,EXETER
"TOP FLAT, 9 BARING CRESCENT, EXETER, EX1 1TL",TOP FLAT,,9,BARING CRESCENT,,EXETER
"GROUND FLOOR 9 BARING CRESCENT, 9 BARING CRESCENT, EXETER, EX1 1TL",GROUND FLOOR 9 BARING CRESCENT,,9,BARING CRESCENT,,EXETER
"FLAT SECOND FLOOR, 11 BARING CRESCENT, EXETER, EX1 1TL",FLAT SECOND FLOOR,,11,BARING CRESCENT,,EXETER
"3 CHUTE STREET, EXETER, EX1 2BX",,,3,CHUTE STREET,,EXETER
"4 CHUTE STREET, EXETER, EX1 2BX",,,4,CHUTE STREET,,EXETER
"THE ANNEXE, 1 EGHAM AVENUE, EXETER, EX2 4RQ",THE ANNEXE,,1,EGHAM AVENUE,,EXETER
"FLAT 1, 91 MAGDALEN ROAD, EXETER, EX2 4TG",FLAT 1,,91,MAGDALEN ROAD,,EXETER
"FLAT 2, 91 MAGDALEN ROAD, EXETER, EX2 4TG",FLAT 2,,91,MAGDALEN ROAD,,EXETER
"FLAT 3, 91 MAGDALEN ROAD, EXETER, EX2 4TG",FLAT 3,,91,MAGDALEN ROAD,,EXETER
"FLAT 4, 91 MAGDALEN ROAD, EXETER, EX2 4TG",FLAT 4,,91,MAGDALEN ROAD,,EXETER
"2 BARING CRESCENT, EXETER, EX1 1TL",,,2,BARING CRESCENT,,EXETER
"FLAT 1, 121 OLD TIVERTON ROAD, EXETER, EX4 6LD",FLAT 1,,121,OLD TIVERTON ROAD,,EXETER
"FLAT 2ND FLOOR, 4 MARLBOROUGH ROAD, EXETER, EX2 4TJ",FLAT 2ND FLOOR,,4,MARLBOROUGH ROAD,,EXETER
"FLAT 2, 23 HEAVITREE ROAD, EXETER, EX1 2LG",FLAT 2,,23,HEAVITREE ROAD,,EXETER
"FLAT 2, 34 BELMONT ROAD, EXETER, EX1 2HG",FLAT 2,,34,BELMONT ROAD,,EXETER
"FIRST FLOOR FLAT, 12 CODRINGTON STREET, EXETER, EX1 2BU",FIRST FLOOR FLAT,,12,CODRINGTON STREET,,EXETER
"1, ST LEONARDS COURT, 87 MAGDALEN ROAD, EXETER, EX2 4TF",1,ST LEONARDS COURT,87,MAGDALEN ROAD,,EXETER
"2, ST LEONARDS COURT, 87 MAGDALEN ROAD, EXETER, EX2 4TF",2,ST LEONARDS COURT,87,MAGDALEN ROAD,,EXETER
"3, ST LEONARDS COURT, 87 MAGDALEN ROAD, EXETER, EX2 4TF",3,ST LEONARDS COURT,87,MAGDALEN ROAD,,EXETER
"4, ST LEONARDS COURT, 87 MAGDALEN ROAD, EXETER, EX2 4TF",4,ST LEONARDS COURT,87,MAGDALEN ROAD,,EXETER
"5, ST LEONARDS COURT, 87 MAGDALEN ROAD, EXETER, EX2 4TF",5,ST LEONARDS COURT,87,MAGDALEN ROAD,,EXETER
"FLAT 1, MARYLAND COURT, 10 SPICER ROAD, EXETER, EX1 1SY",FLAT 1,MARYLAND COURT,10,SPICER ROAD,,EXETER
"FLAT 2, MARYLAND COURT, 10 SPICER ROAD, EXETER, EX1 1SY",FLAT 2,MARYLAND COURT,10,SPICER ROAD,,EXETER
"FLAT 3, MARYLAND COURT, 10 SPICER ROAD, EXETER, EX1 1SY",FLAT 3,MARYLAND COURT,10,SPICER ROAD,,EXETER
"FLAT 4, MARYLAND COURT, 10 SPICER ROAD, EXETER, EX1 1SY",FLAT 4,MARYLAND COURT,10,SPICER ROAD,,EXETER
"FLAT 5, MARYLAND COURT, 10 SPICER ROAD, EXETER, EX1 1SY",FLAT 5,MARYLAND COURT,10,SPICER ROAD,,EXETER
"1A SYLVANIA DRIVE, EXETER, EX4 5DT",,,1A,SYLVANIA DRIVE,,EXETER
"70 RIVERMEAD ROAD, EXETER, EX2 4RL",,,70,RIVERMEAD ROAD,,EXETER
"FLAT 1, 102 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 1,,102,MOUNT PLEASANT ROAD,,EXETER
"FLAT 2, 102 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 2,,102,MOUNT PLEASANT ROAD,,EXETER
"FLAT 3, 102 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 3,,102,MOUNT PLEASANT ROAD,,EXETER
"FLAT 4, 102 MOUNT PLEASANT ROAD, EXETER, EX4 7AB",FLAT 4,,102,MOUNT PLEASANT ROAD,,EXETER
"FLAT 5, ORIEL HOUSE, 135 TOPSHAM ROAD, EXETER, EX2 4RE",FLAT 5,ORIEL HOUSE,135,TOPSHAM ROAD,,EXETER
"FLAT A, 3 CLAREMONT GROVE, EXETER, EX2 4LY",FLAT A,,3,CLAREMONT GROVE,,EXETER
"6, ST LEONARDS COURT, 87 MAGDALEN ROAD, EXETER, EX2 4TF",6,ST LEONARDS COURT,87,MAGDALEN ROAD,,EXETER
"6, CHARINGTHAY HOUSE, 4 SYLVAN ROAD, EXETER, EX4 6EW",6,CHARINGTHAY HOUSE,4,SYLVAN ROAD,,EXETER
"FLAT 2, 94 SIDWELL STREET, EXETER, EX4 6PH",FLAT 2,,94,SIDWELL STREET,,EXETER
"FLAT 1, 94 SIDWELL STREET, EXETER, EX4 6PH",FLAT 1,,94,SIDWELL STREET,,EXETER
"1 RIVERMEAD ROAD, EXETER, EX2 4RH",,,1,RIVERMEAD ROAD,,EXETER
"78 RIVERMEAD ROAD, EXETER, EX2 4RL",,,78,RIVERMEAD ROAD,,EXETER
"FLAT 1, 91 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 1,,91,OLD TIVERTON ROAD,,EXETER
"FLAT 2, 91 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 2,,91,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 91 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 3,,91,OLD TIVERTON ROAD,,EXETER
"FLAT 4, 91 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 4,,91,OLD TIVERTON ROAD,,EXETER
"FLAT 5, 91 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 5,,91,OLD TIVERTON ROAD,,EXETER
"FLAT 6, 91 OLD TIVERTON ROAD, EXETER, EX4 6LQ",FLAT 6,,91,OLD TIVERTON ROAD,,EXETER
"FLAT, 51 MAGDALEN ROAD, EXETER, EX2 4TA",FLAT,,51,MAGDALEN ROAD,,EXETER
"MAISONETTE, 49 OLD TIVERTON ROAD, EXETER, EX4 6NG",MAISONETTE,,49,OLD TIVERTON ROAD,,EXETER
"THE STABLE, 117 OLD TIVERTON ROAD, EXETER, EX4 6LD",,THE STABLE,117,OLD TIVERTON ROAD,,EXETER
"FLAT 1, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 1,,53,OLD TIVERTON ROAD,,EXETER
"FLAT 2, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 2,,53,OLD TIVERTON ROAD,,EXETER
"FLAT 3, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 3,,53,OLD TIVERTON ROAD,,EXETER
"FLAT 4, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 4,,53,OLD TIVERTON ROAD,,EXETER
"FLAT 5, 53 OLD TIVERTON ROAD, EXETER, EX4 6NJ",FLAT 5,,53,OLD TIVERTON ROAD,,EXETER
